n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model,count_accuracy_optimal,mse_naive_optimal,mse_model_optimal
1,100,2,1,0.8,5.229343423362243,0.4208354123078628,0.8,5.229343423362243,0.41394429101734087
1,100,2,1,0.4,8.136263783029877,3.198537295875643,0.4,8.136263783029877,3.1985355793726438
1,100,2,1,0.4,354.62315043668843,300.9242671144988,0.3333333333333333,354.62315043668843,302.76338480817327
1,100,2,1,0.8,379.7179198827656,157.5434619753127,0.6666666666666666,379.7179198827656,154.77849557857877
1,100,2,1,0.8666666666666667,352.59160199973013,253.16599759025746,0.8,352.59160199973013,251.04480033778228
1,100,2,1,0.5333333333333333,13.576562641579143,5.569352597872944,0.5333333333333333,13.576562641579143,5.5693562702895125
1,100,2,1,0.4,0.13446865849726003,0.09312623725682785,0.4,0.13446865849726003,0.09314292433273647
1,100,2,1,0.5333333333333333,400.37321149202546,152.87689380397222,0.5333333333333333,400.37321149202546,140.78716692074624
1,100,2,1,0.4666666666666667,548.8864034881556,312.1057579506498,0.4666666666666667,548.8864034881556,317.9467848791574
1,100,2,1,0.7333333333333333,340.84546160389453,309.5307532961027,0.7333333333333333,340.84546160389453,332.79364615834686
1,100,2,1,0.6,512.231366170715,286.5736711091464,0.6,512.231366170715,274.59689955824894
1,100,2,1,0.3333333333333333,0.0995776555840324,0.0863752706087356,0.3333333333333333,0.0995776555840324,0.08628463022328783
1,100,2,1,0.6666666666666666,1025.0445096321266,880.3869371787932,0.6666666666666666,1025.0445096321266,885.3352497891942
1,100,2,1,0.6666666666666666,0.031717624460084894,0.023612335183301938,0.6666666666666666,0.031717624460084894,0.023978324214093735
1,100,2,1,0.4,48.693102266399514,36.92637786126353,0.3333333333333333,48.693102266399514,36.926390668668226
1,100,2,1,0.4666666666666667,357.77981901566255,182.258795741959,0.4666666666666667,357.77981901566255,199.11452670600144
1,100,2,1,0.5333333333333333,0.0052524333637697295,0.005366807999459864,0.5333333333333333,0.0052524333637697295,0.005721604454685008
1,100,2,1,0.7333333333333333,0.03856372292449502,0.029780044755273887,0.7333333333333333,0.03856372292449502,0.029686133603954435
1,100,2,1,0.4666666666666667,360.1260453763859,92.02514115327718,0.4666666666666667,360.1260453763859,91.2695673019486
1,100,2,1,0.6666666666666666,29.613106667328314,10.235218728230512,0.5333333333333333,29.613106667328314,10.235219740566952
1,100,2,1,0.3333333333333333,326.2292135331407,77.25840187852681,0.3333333333333333,326.2292135331407,76.12476475646578
1,100,2,1,0.3333333333333333,366.74864595015725,161.4820585854805,0.3333333333333333,366.74864595015725,161.40355516548524
1,100,2,1,0.5333333333333333,8.562158789527723,2.0629063006473,0.4666666666666667,8.562158789527723,2.062908475242458
1,100,2,1,0.6666666666666666,554.3203602546148,419.6670112241978,0.5333333333333333,554.3203602546148,445.87692854578484
1,100,2,1,0.6666666666666666,4.828871164217429,0.7920786216628445,0.6666666666666666,4.828871164217429,0.758106501103914
1,100,2,1,0.7333333333333333,756.5219132443252,475.47649989644117,0.7333333333333333,756.5219132443252,450.8773051510922
1,100,2,1,0.26666666666666666,401.2296031921338,281.7709537419168,0.26666666666666666,401.2296031921338,284.07722216464555
1,100,2,1,0.5333333333333333,0.06869949685470464,0.02374779800992324,0.5333333333333333,0.06869949685470464,0.023700759618031697
1,100,2,1,0.5333333333333333,11.720101558927666,9.385331875046514,0.4666666666666667,11.720101558927666,9.385330641343133
1,100,2,1,0.4666666666666667,322.6931743197413,157.0276331920907,0.4,322.6931743197413,156.12434927368628
1,100,2,1,0.5333333333333333,328.43961366950657,341.87883534713535,0.5333333333333333,328.43961366950657,367.71931627443075
1,100,2,1,0.7333333333333333,133.4434023432669,78.2742785891012,0.7333333333333333,133.4434023432669,73.75682601590144
1,100,2,1,0.6,0.035156478136909676,0.027862929617544788,0.6,0.035156478136909676,0.026481885741969562
1,100,2,1,0.4666666666666667,0.014818041407714515,0.009585826412396189,0.4666666666666667,0.014818041407714515,0.008858061595823608
1,100,2,1,0.4666666666666667,0.021537665198329035,0.008597046596616758,0.4,0.021537665198329035,0.008009043285256286
1,100,2,1,0.3333333333333333,266.9093860396486,158.26247431549027,0.3333333333333333,266.9093860396486,157.1823571106892
1,100,2,1,0.4666666666666667,441.31311707021905,147.57953529048015,0.4666666666666667,441.31311707021905,141.84918682940736
1,100,2,1,0.4666666666666667,0.008867743114848649,0.00645330086204888,0.4666666666666667,0.008867743114848649,0.005666384676894418
1,100,2,1,0.4,0.009651536065708986,0.007421734104828073,0.4,0.009651536065708986,0.0074775631787966
1,100,2,1,0.6666666666666666,26.137137786485486,5.570253285871304,0.6,26.137137786485486,5.57023248675883
1,100,2,1,0.5333333333333333,3.8242430884065572,0.718785174103311,0.6,3.8242430884065572,0.7187882385473595
1,100,2,1,0.5333333333333333,0.03849485250220064,0.03416128304050101,0.5333333333333333,0.03849485250220064,0.03408762294918563
1,100,2,1,0.8,411.1484942782203,131.2539046385296,0.8,411.1484942782203,132.87165437851897
1,100,2,1,0.26666666666666666,0.05169757585467048,0.03835711790513305,0.3333333333333333,0.05169757585467048,0.03838177398244353
1,100,2,1,0.6666666666666666,383.20270434746516,68.69317429175798,0.6,383.20270434746516,68.37822591925803
1,100,2,1,0.4666666666666667,0.965551592826333,1.2253341666879183,0.4666666666666667,0.965551592826333,1.2217905602893147
1,100,2,1,0.6666666666666666,0.006831869831830957,0.006793916288233989,0.6666666666666666,0.006831869831830957,0.006830769670615095
1,100,2,1,0.6666666666666666,306.6567915373652,112.26457493894469,0.6666666666666666,306.6567915373652,98.60725076144783
1,100,2,1,0.6666666666666666,1.0716897655437299,0.8944703657246189,0.6666666666666666,1.0716897655437299,0.8893661594122845
1,100,2,1,0.6,7.029639293044803,1.2510012504113692,0.6,7.029639293044803,1.2478228564171805
1,100,2,1,0.4666666666666667,486.33353881241203,382.1127354012514,0.3333333333333333,486.33353881241203,390.6141855796836
1,100,2,1,0.5333333333333333,0.030896511521598693,0.023143274478288678,0.5333333333333333,0.030896511521598693,0.021624916072301815
1,100,2,1,0.4666666666666667,709.9647669140611,533.1437872191302,0.4666666666666667,709.9647669140611,531.0852577796933
1,100,2,1,0.3333333333333333,472.2657909899874,157.23482256470058,0.4,472.2657909899874,153.23914968899095
1,100,2,1,0.4,193.74339740287894,98.07424586975256,0.4,193.74339740287894,101.79972857444754
1,100,2,1,0.8,2.9411362448738028,0.19978133955146235,0.8,2.9411362448738028,0.1958995598376809
1,100,2,1,0.4,0.03420060252482905,0.01818117064839608,0.4,0.03420060252482905,0.01845805194212347
1,100,2,1,0.6666666666666666,5.287003062933006,1.568308845057303,0.6666666666666666,5.287003062933006,1.5542815936194212
1,100,2,1,0.8,0.03449813115025087,0.01675414810564,0.8,0.03449813115025087,0.018040468098231868
1,100,2,1,0.8,6.630972925608091,0.2666459678750281,0.8,6.630972925608091,0.26305556809010355
1,100,2,1,0.6666666666666666,279.67734281182646,263.6710937656197,0.4666666666666667,279.67734281182646,402.3261797083033
1,100,2,1,0.6666666666666666,0.033731893116400985,0.015778142558398895,0.6,0.033731893116400985,0.01569730154539466
1,100,2,1,0.4666666666666667,0.007312418111008931,0.007533875167138216,0.4666666666666667,0.007312418111008931,0.00798175044838145
1,100,2,1,0.4666666666666667,21.044890800007785,6.137239517527264,0.4666666666666667,21.044890800007785,6.137247659748775
1,100,2,1,0.4,533.2984755749466,326.5718062097634,0.4,533.2984755749466,333.7568602399523
